sample_id,original_directory,original_sample_number
sample_0001,1,1
sample_0002,1,2
sample_0003,1,3
sample_0004,1,4
sample_0005,1,5
sample_0006,1,6
sample_0007,1,7
sample_0008,1,8
sample_0009,1,9
sample_0010,1,10
sample_0011,1,11
sample_0012,1,12
sample_0013,1,13
sample_0014,1,14
sample_0015,1,15
sample_0016,1,16
sample_0017,1,17
sample_0018,1,18
sample_0019,1,19
sample_0020,1,20
sample_0021,1,21
sample_0022,1,22
sample_0023,1,23
sample_0024,1,24
sample_0025,1,45
sample_0026,1,46
sample_0027,1,47
sample_0028,1,48
sample_0029,1,49
sample_0030,1,50
sample_0031,1,51
sample_0032,1,52
sample_0033,1,53
sample_0034,1,54
sample_0035,1,55
sample_0036,1,56
sample_0037,1,57
sample_0038,1,58
sample_0039,1,59
sample_0040,1,60
sample_0041,1,61
sample_0042,1,62
sample_0043,1,63
sample_0044,1,64
sample_0045,1,65
sample_0046,1,66
sample_0047,1,67
sample_0048,1,68
sample_0049,1,69
sample_0050,1,70
sample_0051,1,71
sample_0052,1,72
sample_0053,1,73
sample_0054,1,74
sample_0055,1,75
sample_0056,1,76
sample_0057,1,77
sample_0058,1,78
sample_0059,1,79
sample_0060,1,80
sample_0061,1,81
sample_0062,1,82
sample_0063,1,83
sample_0064,1,84
sample_0065,1,85
sample_0066,1,86
sample_0067,1,87
sample_0068,1,88
sample_0069,1,89
sample_0070,1,90
sample_0071,1,91
sample_0072,1,92
sample_0073,1,93
sample_0074,1,94
sample_0075,1,95
sample_0076,1,96
sample_0077,1,97
sample_0078,1,98
sample_0079,1,99
sample_0080,1,100
sample_0081,1,101
sample_0082,1,102
sample_0083,1,103
sample_0084,1,104
sample_0085,1,105
sample_0086,1,106
sample_0087,1,107
sample_0088,1,108
sample_0089,1,109
sample_0090,1,110
sample_0091,1,111
sample_0092,1,112
sample_0093,1,113
sample_0094,1,114
sample_0095,1,115
sample_0096,1,116
sample_0097,1,117
sample_0098,2,1
sample_0099,2,2
sample_0100,2,3
sample_0101,2,4
sample_0102,2,5
sample_0103,2,6
sample_0104,2,7
sample_0105,2,8
sample_0106,2,9
sample_0107,2,10
sample_0108,2,11
sample_0109,2,12
sample_0110,2,13
sample_0111,2,14
sample_0112,2,15
sample_0113,2,16
sample_0114,2,17
sample_0115,2,18
sample_0116,2,19
sample_0117,2,20
sample_0118,2,21
sample_0119,2,22
sample_0120,2,23
sample_0121,2,24
sample_0122,2,25
sample_0123,2,26
sample_0124,2,27
sample_0125,2,28
sample_0126,2,29
sample_0127,2,30
sample_0128,3,1
sample_0129,3,2
sample_0130,3,3
sample_0131,3,4
sample_0132,3,5
sample_0133,3,6
sample_0134,3,7
sample_0135,3,8
sample_0136,3,9
sample_0137,3,10
sample_0138,3,11
sample_0139,3,12
sample_0140,3,13
sample_0141,3,14
sample_0142,3,15
sample_0143,3,16
sample_0144,3,17
sample_0145,3,18
sample_0146,3,19
sample_0147,3,20
sample_0148,4,1
sample_0149,4,2
sample_0150,4,3
sample_0151,4,4
sample_0152,4,5
sample_0153,4,6
sample_0154,4,7
sample_0155,4,8
sample_0156,4,9
sample_0157,4,10
sample_0158,4,11
